author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;year_of_construction;kitchen_meters;district;street;house_number;underground
Циан х ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/303174416/;Краснодар;rent;flat;7;9;2;48;32000;0;2015;10;Прикубанский; Западный обход;42к2;
ID 102124388;homeowner;https://krasnodar.cian.ru/rent/flat/307818110/;Краснодар;rent;flat;12;17;2;51.1;22000;0;2023;-1;Прикубанский; Имени Героя Ростовского;8к7;
ID 19392199;homeowner;https://krasnodar.cian.ru/rent/flat/307854490/;Краснодар;rent;flat;5;16;2;60;65000;0;2023;-1;Прикубанский; Константина Гондаря;91;
ID 97652100;unknown;https://krasnodar.cian.ru/rent/flat/307934087/;Краснодар;rent;flat;3;17;2;55;33000;0;2023;16;Прикубанский; Константина Гондаря;103;
Евгения Котикова;realtor;https://krasnodar.cian.ru/rent/flat/307856659/;Краснодар;rent;flat;15;16;2;69;23000;0;2010;14;Завод Измерительных Приборов мкр; Зиповская;45;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/303880486/;Краснодар;rent;flat;15;24;2;55;150000;0;2018;-1;Западный;Дальняя ;8к1;
Циан х ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308111485/;Краснодар;rent;flat;7;17;2;73;41900;0;2010;19;мкр. имени Жукова; Александра Покрышкина;04.июн;
ID 12774100;unknown;https://krasnodar.cian.ru/rent/flat/307892049/;Краснодар;rent;flat;1;1;2;32;20000;0;-1;6;Центральный; Базовская;25;
Циан х ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/306107320/;Краснодар;rent;flat;21;24;2;62.8;35000;0;2021;14;Прикубанский; Имени Героя Георгия Бочарникова;12;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307367029/;Краснодар;rent;flat;8;19;2;65;67500;0;2022;-1;Прикубанский; Питерская;40;
ID 107069533;homeowner;https://krasnodar.cian.ru/rent/flat/291888904/;Краснодар;rent;flat;8;9;2;45.5;22000;0;1974;6.5;мкр. Фестивальный; Атарбекова;25;
ID 47012435;homeowner;https://krasnodar.cian.ru/rent/flat/307678546/;Краснодар;rent;flat;4;18;2;46;28000;0;2015;16;мкр. ККБ; Домбайская;6;
Тагир Манафов;realtor;https://krasnodar.cian.ru/rent/flat/307922185/;Краснодар;rent;flat;7;18;2;68;26000;0;2013;14;мкр. Гидростроителей; Гидростроителей;57;
Самолет Плюс Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/305058963/;Краснодар;rent;flat;4;17;2;64;34000;0;2010;10;Прикубанский;Кореновская ;73;
ID 85191962;homeowner;https://krasnodar.cian.ru/rent/flat/307829351/;Краснодар;rent;flat;4;19;2;67;40000;0;2016;-1;мкр. Панорама; Им. Героя Сарабеева В.И.;3;
Оксана Смольнякова;realtor;https://krasnodar.cian.ru/rent/flat/286854637/;Краснодар;rent;flat;5;10;2;56;30000;0;1996;9;Центральный;Красная ;156;
Самолет Плюс Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/305066436/;Краснодар;rent;flat;3;19;2;72.7;60000;0;2018;16.5;мкр. Центральный; Октябрьская;181/2к3;
МойДом;real_estate_agent;https://krasnodar.cian.ru/rent/flat/300346424/;Краснодар;rent;flat;16;19;2;67.2;25000;0;2013;12;мкр. имени Жукова; Александра Покрышкина;02.янв;
ID 24174988;homeowner;https://krasnodar.cian.ru/rent/flat/307343938/;Краснодар;rent;flat;3;9;2;52;25000;0;1971;12;мкр. Гидростроителей; Игнатова;1;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/304220801/;Краснодар;rent;flat;14;25;2;80;85000;0;2017;-1;мкр. Фестивальный; Совхозная;1к4;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/307640636/;Краснодар;rent;flat;12;24;2;65;60000;0;2015;-1;мкр. Центральный; Буденного;;
КАЯН - Отдел аренды жилой недвижимости;real_estate_agent;https://krasnodar.cian.ru/rent/flat/280878969/;Краснодар;rent;flat;4;5;2;46;23000;0;1981;6;мкр. Славянский; Красных Партизан;161/1;
